"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_1289,field_1685,field_1688,field_1319,field_1321,field_1679,field_1677,field_1658,field_1659
,270079,73858,Cleared,0,,0,,0,,0,
,270079,73858,Cleared,0,,0,,0,,0,
,270079,73858,Cleared,0,,0,,0,,0,
,270079,73858,Cleared,0,,0,,0,,0,
,270079,73858,Cleared,0,,0,,0,,0,
,270079,73858,Cleared,0,,0,,0,,0,
,270374,74023,Voided/Reissued,0,,0,,0,,0,
,270375,74023,Voided/Reissued,0,,0,,0,,0,
,270377,74023,Voided/Reissued,0,,0,,0,,0,
,270377,74023,Voided/Reissued,0,,0,,0,,0,
,271196,74584,Voided/No Reissue,0,,0,,0,,0,
,271463,74752,Voided/Replaced,0,,0,,0,,0,
,271364,0,,74726,Voided/Replaced,0,,0,,0,
,267421,0,,72069,Voided,0,,0,,0,
,267373,72074,Voided,72075,Voided,0,,0,,0,
,267345,0,,0,,72080,Voided,0,,0,
,267321,0,,72088,Voided,0,,0,,0,
,267301,72091,Voided,0,,0,,0,,0,
,267296,72095,Voided,0,,0,,0,,0,
,267275,0,,72098,Voided,0,,0,,0,
,267115,0,,72122,Voided,0,,0,,0,
,267100,0,,72134,Voided,0,,0,,0,
,267606,0,,72145,Voided,0,,0,,0,
,267604,0,,0,,72146,Voided,0,,0,
,267592,0,,72153,Voided,0,,0,,0,
,267586,0,,72157,Voided,0,,0,,0,
,267413,0,,0,,72162,Voided,0,,0,
,267389,0,,72189,Voided,0,,0,,0,
,267369,72195,Voided,0,,0,,0,,0,
,267364,0,,72200,Voided,0,,0,,0,
,267342,0,,72206,Voided,0,,0,,0,
,267336,0,,72208,Voided,0,,0,,0,
,267328,0,,72211,Voided,0,,0,,0,
,267320,0,,72213,Voided,0,,0,,0,
,267295,0,,72220,Voided,0,,0,,0,
,267293,0,,72221,Voided,0,,0,,0,
,267291,0,,0,,72223,Voided,0,,0,
,266908,0,,72230,Voided,0,,0,,0,
,266898,0,,0,,72240,Voided,0,,0,
,266886,72254,Voided,72255,Voided,0,,0,,0,
,269016,0,,72273,Voided,0,,0,,0,
,266853,0,,72278,Voided,0,,0,,0,
,266851,0,,72279,Voided,0,,0,,0,
,266831,72297,Voided,0,,0,,0,,0,
,266826,0,,0,,72304,Voided,0,,0,
,266814,0,,72309,Voided,0,,0,,0,
,266809,0,,72311,Voided,0,,0,,0,
,266798,0,,72314,Voided,0,,0,,0,
,266803,0,,72315,Voided,0,,0,,0,
,266791,0,,72321,Voided,0,,0,,0,
,266781,0,,72323,Voided,0,,0,,0,
,266786,72324,Voided,0,,0,,0,,0,
,224922,0,,72331,Voided,0,,0,,0,
,267484,0,,72336,Voided,0,,0,,0,
,267571,0,,72340,Voided,0,,0,,0,
,267558,0,,72349,Voided,0,,0,,0,
,267553,0,,0,,72352,Voided,0,,0,
,267540,72365,Voided,0,,0,,0,,0,
,267497,0,,72394,Voided,0,,0,,0,
,267495,72395,Voided,0,,0,,0,,0,
,267470,0,,0,,72408,Voided,0,,0,
,267701,72428,Voided,72429,Voided,0,,0,,0,
,267686,72439,Voided,0,,0,,0,,0,
,267688,72439,Voided,0,,0,,0,,0,
,267682,0,,72442,Voided,0,,0,,0,
,267680,0,,72443,Voided,0,,0,,0,
,267672,0,,0,,72447,Voided,0,,0,
,267670,0,,72448,Voided,0,,0,,0,
,267649,0,,72459,Voided,0,,0,,0,
,267645,0,,72464,Voided,0,,0,,0,
,267628,0,,72466,Voided,0,,0,,0,
,267639,72468,Voided,0,,0,,0,,0,
,267629,72470,Voided,0,,0,,0,,0,
,267624,72478,Voided,72479,Voided,0,,0,,0,
,267618,0,,0,,72483,Voided,0,,0,
,266931,72500,Voided,0,,0,,0,,0,
,266933,0,,72502,Voided,0,,0,,0,
,266952,0,,72513,Voided,0,,0,,0,
,266955,72515,Voided,72516,Voided,0,,0,,0,
,266958,0,,72519,Voided,0,,0,,0,
,266959,72520,Voided,0,,0,,0,,0,
,266962,0,,72522,Voided,0,,0,,0,
,266966,72526,Voided,0,,0,,0,,0,
,266972,0,,72530,Voided,0,,0,,0,
,266969,72533,Voided,72534,Voided,0,,0,,0,
,266974,72535,Voided,0,,0,,0,,0,
,266982,0,,72539,Voided,0,,0,,0,
,266981,72540,Voided,0,,0,,0,,0,
,267007,0,,72549,Voided,0,,0,,0,
,267004,72554,Voided,72555,Voided,0,,0,,0,
,267013,72554,Voided,0,,0,,0,,0,
,267148,0,,72566,Voided,0,,0,,0,
,266983,72574,Voided,0,,0,,0,,0,
,267037,0,,72577,Voided,0,,0,,0,
,267049,0,,72582,Voided,0,,0,,0,
,267059,0,,72585,Voided,0,,0,,0,
,267156,0,,72607,Voided,0,,0,,0,
,267175,0,,72623,Voided,0,,0,,0,
,205277,0,,72627,Voided,0,,0,,0,
,267184,0,,72630,Voided,0,,0,,0,
,267192,0,,72637,Voided,0,,0,,0,
,267195,72639,Voided,0,,72640,Voided,0,,0,
,224805,0,,72643,Voided,0,,0,,0,
,267213,0,,72649,Voided,0,,0,,0,
,267215,0,,0,,72650,Voided,0,,0,
,267220,72651,Voided,0,,0,,0,,0,
,267262,72679,Voided,0,,0,,0,,0,
,267755,0,,72696,Voided,0,,0,,0,
,267757,0,,72698,Voided,0,,0,,0,
,267764,0,,72704,Voided,0,,0,,0,
,267770,0,,72708,Voided,0,,0,,0,
,267777,72711,Voided,72712,Voided,0,,0,,0,
,267783,0,,72716,Voided,0,,0,,0,
,267792,0,,0,,72724,Voided,0,,0,
,267808,0,,72730,Voided,0,,0,,0,
,267809,0,,72732,Voided,0,,0,,0,
,267817,72734,Voided,0,,0,,0,,0,
,267819,72734,Voided,0,,0,,0,,0,
,267815,0,,72735,Voided,0,,0,,0,
,267826,0,,72742,Voided,0,,0,,0,
,267898,0,,72783,Voided,0,,0,,0,
,267892,0,,72784,Voided,0,,0,,0,
,267914,0,,72807,Voided,0,,0,,0,
,267947,72816,Voided,0,,0,,0,,0,
,267949,72818,Voided,72819,Voided,0,,0,,0,
,267939,72822,Voided,72823,Voided,0,,0,,0,
,267971,72833,Voided,0,,72834,Voided,0,,0,
,224996,0,,72843,Voided,0,,0,,0,
,268016,0,,72856,Voided,0,,0,,0,
,268121,0,,72861,Voided,0,,0,,0,
,268122,72871,Voided,72872,Voided,0,,0,,0,
,268053,72877,Voided,72884,Voided,0,,0,,0,
,268055,0,,0,,72883,Voided,0,,0,
,268094,72894,Voided,0,,0,,0,,0,
,268096,0,,0,,72896,Voided,0,,0,
,268108,72899,Voided,0,,0,,0,,0,
,268091,0,,72904,Voided,0,,0,,0,
,267977,72911,Voided,72912,Voided,0,,0,,0,
,268126,0,,72913,Voided,0,,0,,0,
,268168,0,,0,,72925,Voided,0,,0,
,268296,72931,Voided,0,,0,,0,,0,
,268298,72931,Voided,0,,0,,0,,0,
,268301,72931,Voided,0,,0,,0,,0,
,268301,72931,Voided,0,,0,,0,,0,
,268130,0,,0,,72933,Voided,0,,0,
,268141,0,,72936,Voided,0,,0,,0,
,268148,72937,Voided,0,,0,,0,,0,
,268303,72938,Voided,72939,Voided,0,,0,,0,
,267382,0,,0,,72957,Voided,0,,0,
,268163,0,,72960,Voided,0,,0,,0,
,268227,0,,72980,Voided,0,,0,,0,
,268239,0,,72983,Voided,0,,0,,0,
,267020,0,,72984,Voided,0,,0,,0,
,268244,0,,72992,Voided,0,,0,,0,
,268223,73009,Voided,0,,0,,0,,0,
,268277,73014,Voided,0,,0,,0,,0,
,268259,0,,0,,73019,Voided,0,,0,
,268368,0,,73025,Voided,0,,0,,0,
,268384,0,,0,,73037,Voided,0,,0,
,268392,73042,Voided,0,,0,,0,,0,
,268400,0,,0,,73049,Voided,0,,0,
,268408,0,,0,,73053,Voided,0,,0,
,268420,73059,Voided,0,,0,,0,,0,
,268426,0,,0,,73061,Voided,0,,0,
,268464,0,,73069,Voided,0,,0,,0,
,268469,73070,Voided,0,,0,,0,,0,
,268473,73070,Voided,0,,0,,0,,0,
,268475,73070,Voided,0,,0,,0,,0,
,268475,73070,Voided,0,,0,,0,,0,
,268455,0,,73072,Voided,0,,0,,0,
,268444,0,,73074,Voided,0,,0,,0,
,268514,73092,Voided,73093,Voided,0,,0,,0,
,268515,0,,73095,Voided,0,,0,,0,
,268500,73096,Voided,73097,Voided,0,,0,,0,
,268511,73098,Voided,73099,Voided,0,,0,,0,
,268651,73107,Voided,73108,Voided,0,,0,,0,
,268667,73120,Voided,0,,0,,0,,0,
,268670,0,,73123,Voided,0,,0,,0,
,268710,73131,Voided,0,,0,,0,,0,
,268701,73133,Voided,0,,0,,0,,0,
,268726,0,,0,,0,,73144,Voided,0,
,268729,0,,0,,73158,Voided,0,,0,
,268760,0,,73168,Voided,0,,0,,0,
,268753,73172,Voided,73171,Voided,0,,0,,0,
,268750,0,,73178,Voided,0,,0,,0,
,267676,0,,73180,Voided,0,,0,,0,
,268847,73188,Voided,0,,0,,0,,0,
,268853,0,,73191,Voided,0,,0,,0,
,268874,73201,Voided,73202,Voided,0,,0,,0,
,268908,0,,73202,Voided,0,,0,,0,
,268872,0,,0,,73205,Voided,0,,0,
,268879,0,,73207,Voided,0,,0,,0,
,268893,0,,73215,Voided,0,,0,,0,
,268910,73226,Voided,73227,Voided,0,,0,,0,
,268916,0,,73231,Voided,0,,0,,0,
,268924,0,,73239,Voided,0,,0,,0,
,268926,73242,Voided,73243,Voided,0,,0,,0,
,269020,0,,0,,73269,Voided,0,,0,
,269018,73270,Voided,0,,0,,0,,0,
,269034,0,,73288,Voided,0,,0,,0,
,269058,0,,0,,73302,Voided,0,,0,
,269051,0,,73307,Voided,0,,0,,0,
,268391,0,,73319,Voided,0,,0,,0,
,269127,0,,73335,Voided,0,,0,,0,
,269143,0,,73347,Voided,0,,0,,0,
,269148,0,,0,,73348,Voided,0,,0,
,269154,0,,73350,Voided,0,,0,,0,
,269170,0,,73364,Voided,0,,0,,0,
,269182,73374,Voided,0,,0,,0,,0,
,269184,0,,73376,Voided,0,,0,,0,
,269183,73379,Voided,0,,0,,0,,0,
,269187,0,,73383,Voided,0,,0,,0,
,269189,73385,Voided,0,,0,,0,,0,
,269195,73389,Voided,0,,0,,0,,0,
,269196,73389,Voided,0,,0,,0,,0,
,269196,73389,Voided,0,,0,,0,,0,
,269197,73389,Voided,0,,0,,0,,0,
,269197,73389,Voided,0,,0,,0,,0,
,269197,73389,Voided,0,,0,,0,,0,
,269197,73389,Voided,0,,0,,0,,0,
,269197,73389,Voided,0,,0,,0,,0,
,269194,0,,73393,Voided,0,,0,,0,
