"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_1289,field_1685,field_1688,field_1319,field_1321,field_1679,field_1677,field_1658,field_1659
,284252,0,,0,,81449,Cleared,0,
,284256,0,,0,,81451,Cleared,0,
,284284,0,,81476,Cleared,0,,0,
,284311,0,,81488,Cleared,0,,0,
,284250,0,,0,,81448,Cleared,0,
,284315,0,,0,,0,,81490,Cleared
,284346,0,,0,,0,,81512,Cleared
,284510,0,,0,,81589,Cleared,0,
,284459,0,,0,,81550,Cleared,0,
,284484,0,,0,,81566,Cleared,0,
,284493,81575,Cleared,81576,Cleared,0,,0,
,284445,81539,Cleared,81540,Cleared,0,,0,
,284509,81587,Cleared,0,,0,,0,
,284460,81548,Cleared,81549,Cleared,0,,0,
,284443,81537,Cleared,81538,Cleared,0,,0,
,284466,81556,Cleared,0,,0,,0,
,284462,81552,Cleared,81553,Cleared,0,,0,
,284452,81545,Cleared,0,,0,,0,
,284482,0,,81562,Cleared,0,,0,
,284475,0,,81559,Cleared,0,,0,
,284468,0,,81557,Cleared,0,,0,
,284447,0,,81541,Cleared,0,,0,
,284505,0,,81583,Cleared,0,,0,
,284490,0,,81571,Cleared,0,,0,
,284494,0,,81577,Cleared,0,,0,
,284448,0,,81543,Cleared,0,,0,
,284491,0,,81574,Cleared,0,,0,
,284446,0,,81542,Cleared,0,,0,
,284481,0,,81563,Cleared,0,,0,
,284464,0,,81555,Cleared,0,,0,
,284449,0,,81544,Cleared,0,,0,
,284512,0,,0,,0,,81590,Cleared
,282142,0,,81569,Cleared,0,,0,
,283536,0,,81554,Cleared,0,,0,
,284582,81613,Cleared,0,,0,,0,
,284581,81613,Cleared,81614,Cleared,0,,0,
,284580,81613,Cleared,0,,0,,0,
,284583,81613,Cleared,0,,0,,0,
,284584,81613,Cleared,0,,0,,0,
,284585,0,,0,,81616,Cleared,0,
,284567,81606,Cleared,0,,81607,Cleared,0,
,284600,0,,81632,Cleared,0,,81631,Cleared
,284589,81618,Cleared,81619,Cleared,0,,0,
,284553,81601,Cleared,0,,0,,0,
,284555,81602,Cleared,0,,0,,0,
,284546,0,,81599,Cleared,0,,0,
,284587,0,,81617,Cleared,0,,0,
,284604,0,,81635,Cleared,0,,0,
,284606,0,,81636,Cleared,0,,0,
,284601,0,,0,,0,,81633,Cleared
,284603,0,,81634,Cleared,0,,0,
,284598,0,,81630,Cleared,0,,0,
,284543,0,,81598,Cleared,0,,0,
,284592,0,,0,,81624,Cleared,0,
,284591,0,,81623,Cleared,0,,0,
,284590,0,,81621,Cleared,0,,0,
,284571,0,,81609,Cleared,0,,0,
,284561,0,,81603,Cleared,0,,0,
,284594,0,,81626,Cleared,0,,0,
,284551,0,,81600,Cleared,0,,0,
,284565,0,,0,,0,,81605,Cleared
,284742,81695,Cleared,0,,0,,0,
,284739,81695,Cleared,0,,0,,0,
,284747,81695,Cleared,0,,0,,0,
,284750,81695,Cleared,0,,0,,0,
,284732,81687,Cleared,0,,0,,0,
,284731,81687,Cleared,0,,0,,0,
,284733,81687,Cleared,0,,0,,0,
,284761,0,,0,,81705,Cleared,0,
,284636,0,,0,,0,,81637,Cleared
,284651,81639,Cleared,0,,0,,0,
,284681,81659,Cleared,0,,0,,0,
,284755,81701,Cleared,0,,0,,0,
,284640,81653,Cleared,0,,0,,0,
,284664,81643,Cleared,0,,0,,0,
,284720,81679,Cleared,0,,0,,0,
,284740,81691,Cleared,0,,0,,0,
,284638,81650,Cleared,81651,Cleared,0,,0,
,284666,0,,81644,Cleared,0,,0,
,284743,0,,81696,Cleared,0,,0,
,284642,0,,81652,Cleared,0,,0,
,284677,0,,81647,Cleared,0,,0,
,284748,0,,0,,81698,Cleared,0,
,283666,0,,81699,Cleared,0,,0,
,284711,0,,81675,Cleared,0,,0,
,284697,0,,81666,Cleared,0,,0,
,284696,0,,81665,Cleared,0,,0,
