"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_1897,field_1938,field_1939,field_1895,field_1896,field_1935,field_1934,field_1942,field_1943,field_1954,field_1955
,275681,0,,77464,Stale Check,0,,0,,0,
,275820,0,,77558,Stale Check,0,,0,,0,
,275960,0,,77658,Stale Check,0,,0,,0,
,276045,0,,77725,Stale Check,0,,0,,0,
,276193,0,,77838,Stale Check,0,,0,,0,
,276248,0,,77881,Stale Check,0,,0,,0,
,276259,0,,77894,Stale Check,0,,0,,0,
,276365,0,,77967,Stale Check,0,,0,,0,
,276393,0,,77981,Stale Check,0,,0,,0,
,276397,0,,77986,Stale Check,0,,0,,0,
,276431,0,,78012,Stale Check,0,,0,,0,
,276647,0,,0,,0,,78134,Stale Check,0,
,276725,0,,0,,78172,Stale Check,0,,0,
,276759,0,,0,,0,,78209,Stale Check,0,
,276784,0,,78218,Stale Check,0,,0,,0,
,276868,0,,0,,78261,Stale Check,0,,0,
,276934,0,,0,,78308,Stale Check,0,,0,
,277007,0,,0,,78371,Stale Check,0,,0,
,277011,0,,0,,78376,Stale Check,0,,0,
,277025,0,,78378,Stale Check,0,,0,,0,
,277026,78379,Stale Check,0,,0,,0,,0,
,277036,0,,78387,Stale Check,0,,0,,0,
,277047,0,,78392,Stale Check,0,,0,,0,
,277061,0,,78404,Stale Check,0,,0,,0,
,277110,0,,0,,0,,78435,Stale Check,0,
,277144,0,,0,,78473,Stale Check,0,,0,
,277188,0,,78484,Stale Check,0,,0,,0,
,277222,0,,0,,0,,0,,78507,Stale Check
,277253,0,,0,,78543,Stale Check,0,,0,
,277388,0,,78615,Stale Check,0,,0,,0,
,277391,0,,78614,Stale Check,0,,0,,0,
,277399,0,,78619,Stale Check,0,,0,,0,
,277414,0,,0,,78629,Stale Check,0,,0,
,277419,0,,78631,Stale Check,0,,0,,0,
,277423,78636,Stale Check,0,,0,,0,,0,
,277424,0,,78637,Stale Check,0,,0,,0,
,277426,0,,78640,Stale Check,0,,0,,0,
,277448,0,,0,,0,,0,,78666,Stale Check
,277459,0,,78684,Stale Check,0,,0,,0,
,277497,0,,78700,Stale Check,0,,0,,0,
,277498,0,,78701,Stale Check,0,,0,,0,
,277530,0,,0,,0,,0,,78714,Stale Check
,277578,78761,Stale Check,0,,0,,0,,0,
,277579,0,,78762,Stale Check,0,,0,,0,
,277602,0,,78771,Stale Check,0,,0,,0,
,277709,0,,78833,Stale Check,0,,0,,0,
,277734,0,,78848,Stale Check,0,,0,,0,
,277779,0,,78877,Stale Check,0,,0,,0,
,277959,0,,78969,Stale Check,0,,0,,0,
,277971,0,,78980,Stale Check,0,,0,,0,
,278053,0,,79021,Stale Check,0,,0,,0,
,278054,0,,0,,79022,Stale Check,0,,0,
,278104,0,,79041,Stale Check,0,,0,,0,
,278184,0,,79095,Stale Check,0,,0,,0,
,278271,0,,79154,Stale Check,0,,0,,0,
,278272,0,,79158,Stale Check,0,,0,,0,
,278275,0,,79159,Stale Check,0,,0,,0,
,278372,0,,79214,Stale Check,0,,0,,0,
,278633,0,,79386,Stale Check,0,,0,,0,
,278638,0,,0,,79391,Stale Check,0,,0,
,278660,0,,79411,Stale Check,0,,0,,0,
,278989,0,,0,,79594,Stale Check,0,,0,
,279143,79685,Stale Check,0,,0,,0,,0,
,279157,79691,Stale Check,0,,0,,0,,0,
,279405,0,,79825,Stale Check,0,,0,,0,
,279476,79861,Stale Check,0,,0,,0,,0,
,279478,79861,Stale Check,0,,0,,0,,0,
,279482,79861,Stale Check,0,,0,,0,,0,
,279560,79907,Stale Check,0,,0,,0,,0,
,279563,79907,Stale Check,0,,0,,0,,0,
,279565,79907,Stale Check,0,,0,,0,,0,
,279566,79907,Stale Check,0,,0,,0,,0,
,279568,79907,Stale Check,0,,0,,0,,0,
,279879,0,,0,,80077,Stale Check,0,,0,
,279948,0,,80110,Stale Check,0,,0,,0,
,279949,0,,0,,80111,Stale Check,0,,0,
,280090,0,,80176,Stale Check,0,,0,,0,
,280168,0,,80221,Stale Check,0,,0,,0,
,280187,0,,80227,Stale Check,0,,0,,0,
,280281,0,,80272,Stale Check,0,,0,,0,
,280335,80281,Stale Check,80282,Stale Check,0,,0,,0,
,280381,0,,0,,80299,Stale Check,0,,0,
,280446,0,,0,,80308,Stale Check,0,,0,
