"System Header Row
DO NOT DELETE THIS ROW
OR THIS COLUMN!",field_1289,field_1685,field_1688,field_1319,field_1321,field_1679,field_1677,field_1658,field_1659
,280551,80345,Cleared,0,,0,,0,
,280553,80345,Cleared,0,,0,,0,
,280557,80345,Cleared,0,,0,,0,
,280559,80345,Cleared,0,,0,,0,
,280572,0,,0,,0,,80364,Cleared
,280562,0,,0,,0,,80366,Cleared
,280481,80341,Cleared,80342,Cleared,0,,0,
,280465,0,,80329,Cleared,0,,0,
,280480,0,,80343,Cleared,0,,0,
,280576,0,,0,,0,,80350,Cleared
,280647,80387,Cleared,0,,0,,0,
,277346,0,,80376,Cleared,0,,0,
,280743,80400,Cleared,0,,0,,0,
,280746,80400,Cleared,0,,0,,0,
,280751,80401,Cleared,0,,0,,0,
,280753,80401,Cleared,0,,0,,0,
,280756,80418,Cleared,0,,0,,0,
,280769,80432,Cleared,80433,Cleared,0,,0,
,280765,80422,Cleared,0,,0,,0,
,280755,80416,Cleared,0,,0,,0,
,280777,0,,0,,0,,80431,Cleared
,279631,0,,80414,Cleared,0,,0,
,280613,0,,80421,Cleared,0,,0,
,280773,0,,0,,0,,80430,Cleared
,280772,0,,0,,0,,80437,Cleared
,280954,80464,Cleared,0,,0,,0,
,280943,80450,Cleared,0,,0,,0,
,280965,80475,Cleared,80476,Cleared,0,,0,
,280956,80465,Cleared,0,,0,,0,
,279759,0,,80467,Cleared,0,,0,
,280964,0,,80474,Cleared,0,,0,
,280397,0,,80472,Cleared,0,,0,
,279637,0,,80449,Cleared,0,,0,
,280790,0,,80458,Cleared,0,,0,
,281141,0,,0,,0,,80525,Cleared
,281130,0,,0,,80523,Cleared,0,
,281135,0,,0,,0,,80519,Cleared
,281102,80501,Cleared,0,,0,,0,
,281083,80487,Cleared,80488,Cleared,0,,0,
,281124,80517,Cleared,80518,Cleared,0,,0,
,281127,80515,Cleared,0,,0,,0,
,281112,80508,Cleared,80509,Cleared,0,,0,
,281113,0,,0,,0,,80510,Cleared
,281079,0,,80486,Cleared,0,,0,
,281075,80486,Cleared,0,,0,,0,
,281076,80486,Cleared,0,,0,,0,
,281108,0,,80516,Cleared,0,,80516,Cleared
,281118,0,,80512,Cleared,0,,0,
,279404,0,,80490,Cleared,0,,0,
,281123,0,,80513,Cleared,0,,0,
,281094,0,,0,,0,,80494,Cleared
,281104,0,,0,,0,,80505,Cleared
,281110,0,,80507,Cleared,0,,0,
,281099,0,,0,,0,,80498,Cleared
,281468,80539,Cleared,0,,0,,0,
,281472,80541,Cleared,0,,0,,0,
,281474,80542,Cleared,0,,80543,Cleared,0,
,281465,80537,Cleared,0,,0,,0,
,281492,80557,Cleared,80558,Cleared,0,,0,
,281491,80556,Cleared,0,,0,,0,
,281463,80535,Cleared,0,,0,,0,
,281457,80528,Cleared,80529,Cleared,0,,0,
,281460,80532,Cleared,80533,Cleared,0,,0,
,281466,0,,80538,Cleared,0,,0,
,281599,0,,0,,80574,Cleared,0,
,281634,0,,0,,80590,Cleared,0,
,281596,80569,Cleared,80570,Cleared,0,,0,
,281578,80561,Cleared,0,,0,,0,
,281647,80598,Cleared,80599,Cleared,0,,0,
,281645,80600,Cleared,0,,0,,0,
,281622,80583,Cleared,0,,0,,0,
,281621,80581,Cleared,80582,Cleared,0,,0,
,281644,80596,Cleared,80589,Cleared,0,,0,
,281656,80601,Cleared,80602,Cleared,0,,0,
,281639,0,,80593,Cleared,0,,0,
,281637,0,,80594,Cleared,0,,0,
,281603,0,,80571,Cleared,0,,0,
,281602,0,,80572,Cleared,0,,0,
,281608,0,,80577,Cleared,0,,0,
,281614,0,,0,,0,,80576,Cleared
,281600,0,,0,,80573,Cleared,0,
,281628,0,,80587,Cleared,0,,0,
,281610,0,,80579,Cleared,0,,0,
,281633,0,,80591,Cleared,0,,0,
,281584,0,,80564,Cleared,0,,0,
,281636,0,,80595,Cleared,0,,0,
,281964,80624,Cleared,0,,0,,0,
,281965,80624,Cleared,0,,0,,0,
,281951,0,,0,,80617,Cleared,0,
,281949,80615,Cleared,80616,Cleared,0,,0,
,281977,80635,Cleared,0,,0,,0,
,281979,80631,Cleared,0,,0,,0,
,281973,80633,Cleared,80634,Cleared,0,,0,
,281957,0,,80623,Cleared,0,,0,
,281941,0,,80614,Cleared,0,,0,
,281956,0,,80621,Cleared,0,,0,
,281953,0,,80618,Cleared,0,,0,
,281976,0,,80632,Cleared,0,,0,
,281971,0,,0,,0,,80630,Cleared
,281984,0,,80640,Cleared,0,,0,
,281942,0,,80613,Cleared,0,,0,
,281987,0,,80643,Cleared,0,,0,
,281959,0,,80622,Cleared,0,,0,
,282137,80698,Cleared,0,,0,,0,
,282135,80694,Cleared,80695,Cleared,0,,0,
,282077,80650,Cleared,80651,Cleared,0,,0,
,282130,80685,Cleared,80686,Cleared,0,,0,
,282082,80652,Cleared,80653,Cleared,0,,0,
,282124,80679,Cleared,80680,Cleared,0,,0,
,282078,80648,Cleared,0,,0,,0,
,282113,0,,80666,Cleared,0,,0,
,282089,0,,80659,Cleared,0,,0,
,282132,0,,80688,Cleared,0,,0,
,282131,0,,80687,Cleared,0,,0,
,282112,0,,80665,Cleared,0,,0,
,282142,0,,0,,0,,80664,Cleared
,282139,0,,0,,0,,80700,Cleared
,282106,0,,80662,Cleared,0,,0,
,282107,0,,80673,Cleared,0,,0,
,282087,0,,80656,Cleared,0,,0,
,282080,0,,80654,Cleared,0,,0,
,282120,0,,80672,Cleared,0,,0,
,282134,0,,0,,80693,Cleared,0,
,282328,80716,Cleared,0,,80717,Cleared,0,
,282334,0,,0,,0,,80721,Cleared
,282365,0,,0,,80751,Cleared,0,
,282358,80741,Cleared,0,,0,,0,
,282371,80753,Cleared,0,,0,,0,
,282355,80738,Cleared,80739,Cleared,0,,0,
,282363,80749,Cleared,0,,0,,0,
,282333,80720,Cleared,0,,0,,0,
,282340,80727,Cleared,80728,Cleared,0,,0,
,282322,80710,Cleared,80711,Cleared,0,,0,
,282342,0,,0,,0,,80724,Cleared
,282379,0,,80762,Cleared,0,,0,
,282361,0,,80747,Cleared,0,,0,
,282326,0,,80715,Cleared,0,,0,
,282313,0,,80706,Cleared,0,,0,
,282377,0,,80758,Cleared,0,,0,
,282317,0,,80707,Cleared,0,,0,
,282345,0,,80729,Cleared,0,,0,
,282331,0,,80719,Cleared,0,,0,
,282351,0,,0,,0,,80714,Cleared
,282356,0,,80740,Cleared,0,,0,
,282519,80809,Cleared,0,,0,,0,
,282520,80809,Cleared,0,,0,,0,
,282521,80809,Cleared,0,,0,,0,
,282522,80809,Cleared,0,,0,,0,
,282523,80809,Cleared,0,,0,,0,
,282479,0,,0,,0,,80785,Cleared
,282497,0,,80799,Cleared,0,,80798,Cleared
,282505,80804,Cleared,0,,0,,0,
,282495,80795,Cleared,0,,0,,0,
,282498,80800,Cleared,0,,0,,0,
,282496,80797,Cleared,0,,0,,0,
,282471,0,,0,,0,,80778,Cleared
,282467,0,,80775,Cleared,0,,0,
,282525,0,,80812,Cleared,0,,0,
,282475,0,,80784,Cleared,0,,0,
,282494,0,,80794,Cleared,0,,0,
,282503,0,,80802,Cleared,0,,0,
,282472,0,,0,,0,,80779,Cleared
,282468,0,,80776,Cleared,0,,0,
,282482,0,,80789,Cleared,0,,0,
,282518,0,,80810,Cleared,0,,0,
,282634,80829,Cleared,0,,0,,0,
,282632,80829,Cleared,0,,0,,0,
,282633,80829,Cleared,0,,0,,0,
,282668,80857,Cleared,0,,0,,0,
,282670,80857,Cleared,0,,0,,0,
,282638,0,,0,,80835,Cleared,0,
,282678,0,,0,,80867,Cleared,0,
,282664,80851,Cleared,0,,80852,Cleared,0,
,282628,80825,Cleared,80826,Cleared,0,,0,
,282671,80858,Cleared,0,,0,,0,
,282658,80848,Cleared,0,,0,,0,
,282635,80830,Cleared,80831,Cleared,0,,0,
,282621,0,,80820,Cleared,0,,0,
,282665,0,,80856,Cleared,0,,0,
,282654,0,,80845,Cleared,0,,0,
,282624,0,,80822,Cleared,0,,0,
,282625,0,,80823,Cleared,0,,0,
,282627,0,,80824,Cleared,0,,0,
,282804,80926,Cleared,0,,0,,0,
,282806,80926,Cleared,0,,0,,0,
,282805,80926,Cleared,0,,0,,0,
,282769,0,,0,,80896,Cleared,0,
,282755,80883,Cleared,0,,0,,0,
,282780,80912,Cleared,0,,0,,0,
,282788,80917,Cleared,0,,0,,0,
,282790,0,,80919,Cleared,0,,0,
,282833,0,,80945,Cleared,0,,0,
,282807,0,,0,,80927,Cleared,0,
,282765,0,,80892,Cleared,0,,0,
,282759,0,,80914,Cleared,0,,0,
,282834,0,,80954,Cleared,0,,0,
,282835,0,,80950,Cleared,0,,0,
